states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[ 0.11936852 -0.3099222 ],0,[-0.92615914  0.53695226],1,0,[0.18799191 0.81200809]
[-0.03433946 -0.34290862],0,[-1.582235   1.0233576],0,0,[0.06877936 0.93122064]
[-0.25336388 -0.40403214],0,[-2.577517   1.7549467],0,0,[0.01296485 0.98703515]
[-0.49239153 -0.49480116],0,[-3.7666554  2.618948 ],0,0,[0.00168281 0.99831719]
[-0.6654279  -0.59477055],0,[-4.774082   3.3378081],0,0,[0.00029986 0.99970014]
[-0.76302487 -0.66230303],0,[-5.3899913  3.773651 ],0,0,[0.00010477 0.99989523]
[-0.89969677 -0.34728837],1,[-4.5000114  3.2674499],0,0,[0.00042311 0.99957689]
[-0.76416683 -0.7249042 ],0,[-5.661667   3.9472494],0,0,[0.00006712 0.99993288]
[-0.9044972  -0.36166212],1,[-4.577594   3.3190155],0,0,[0.00037186 0.99962814]
[-0.92173725 -0.1967167 ],1,[-3.9296021  2.9138389],0,0,[0.00106529 0.99893471]
[-0.6998949 -0.6980063],0,[-5.3312616  3.708138 ],0,0,[0.00011863 0.99988137]
[-0.8018849 -0.675741 ],0,[-5.577673  3.910521],0,0,[0.00007574 0.99992426]
[-0.83259106 -0.71196634],0,[-5.8355384  4.0884776],0,0,[0.00004898 0.99995102]
[-0.8533398 -0.7232948],0,[-5.95352  4.17288],0,0,[0.00004001 0.99995999]
[-0.9328066  -0.37851188],1,[-4.744528   3.4379716],0,1,[0.00027942 0.99972058]
[-0.10572674  0.03055959],1,[-0.223441    0.18941122],1,0,[0.39822841 0.60177159]
[ 0.0398243 -0.3508714],0,[-1.3678489  0.8537622],0,0,[0.09782652 0.90217348]
[-0.17465782 -0.37725326],0,[-2.1992655  1.4789276],0,0,[0.02464583 0.97535417]
[-0.5823349  -0.19690762],1,[-2.7933857  2.038885 ],0,0,[0.00790541 0.99209459]
[-0.75376344 -0.0789067 ],1,[-2.8628016  2.1594036],0,0,[0.00654683 0.99345317]
[-0.5221421 -0.6256407],0,[-4.4261427  3.0523612],0,0,[0.00056478 0.99943522]
[-0.8157363  -0.29991254],1,[-4.0160294  2.921729 ],0,0,[0.0009695 0.9990305]
[-0.69611514 -0.6971993 ],0,[-5.3151464  3.6961884],0,0,[0.000122 0.999878]
[-0.8003702 -0.6747578],0,[-5.568392   3.9039338],0,0,[0.00007695 0.99992305]
[-0.83177024 -0.7114337 ],0,[-5.830509   4.0849085],0,0,[0.0000494 0.9999506]
[-0.92506427 -0.37152648],1,[-4.688702   3.3989582],0,0,[0.00030721 0.99969279]
[-0.79465985 -0.73418003],0,[-5.8035097  4.0511913],0,0,[0.0000525 0.9999475]
[-0.84363467 -0.71102685],0,[-5.8685155  4.1144032],0,0,[0.00004618 0.99995382]
[-0.92886245 -0.37368232],1,[-4.7106504  3.4146323],0,0,[0.00029587 0.99970413]
[-0.93559194 -0.20535676],1,[-4.0129848  2.9731295],0,1,[0.00092378 0.99907622]
[-0.10572674  0.03055959],1,[-0.223441    0.18941122],1,0,[0.39822841 0.60177159]
[-0.21563956  0.07525399],1,[-0.40042758  0.3510883 ],0,0,[0.32049109 0.67950891]
[-0.30155912  0.14945237],1,[-0.37079626  0.3704469 ],0,0,[0.32273236 0.67726764]
[-0.00747613 -0.38610497],0,[-1.6770631  1.0718195],0,0,[0.06014979 0.93985021]
[-0.44043773 -0.18423842],1,[-2.2638083  1.6383307],0,0,[0.01979875 0.98020125]
[-0.4537115 -0.5539645],0,[-3.890214   2.6804557],0,0,[0.0013989 0.9986011]
[-0.7805826 -0.2751205],1,[-3.7921836  2.7634678],0,0,[0.00142004 0.99857996]
[-0.6679959 -0.6838523],0,[-5.163837   3.5872717],0,0,[0.00015826 0.99984174]
[-0.78771424 -0.6641142 ],0,[-5.4804525  3.8422735],0,0,[0.00008936 0.99991064]
[-0.907671  -0.3519561],1,[-4.546697  3.300743],0,0,[0.0003906 0.9996094]
[-0.9222519  -0.18715456],1,[-3.8904128  2.8890996],0,0,[0.00113554 0.99886446]
[-0.9047991   0.00902539],1,[-2.9925542  2.3092878],0,0,[0.00495771 0.99504229]
[-0.5326602 -0.6100155],0,[-4.3945246  3.0368974],0,0,[0.00059199 0.99940801]
[-0.7206222  -0.61053723],0,[-5.026449   3.5231595],0,0,[0.00019358 0.99980642]
[-0.8817798 -0.3269895],1,[-4.353135   3.1658983],0,1,[0.00054236 0.99945764]
